Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0485 of 2011 (PA 0133 of 2011),Senate Bill,Cities; home rule; minimum staffing requirements for city employees; prohibit. Amends sec. 5 of 1909 PA 279 (MCL 117.5).Last Action: ASSIGNED PA 0133'11 WITH IMMEDIATE EFFECT
SB 0486 of 2011 (PA 0134 of 2011),Senate Bill,Counties; boards and commissions; minimum staffing requirements for county employees; prohibit. Amends 1851 PA 156 (MCL 46.1 - 46.32) by adding sec. 11d.Last Action: ASSIGNED PA 0134'11 WITH IMMEDIATE EFFECT
SB 0487 of 2011 (PA 0135 of 2011),Senate Bill,Counties; charter; minimum staffing requirements for county employees; prohibit. Amends 1966 PA 293 (MCL 45.501 - 45.521) by adding sec. 15b.Last Action: ASSIGNED PA 0135'11 WITH IMMEDIATE EFFECT
SB 0488 of 2011 (PA 0136 of 2011),Senate Bill,Counties; other; minimum staffing requirements for employees of an optional unified form of county government; prohibit. Amends 1973 PA 139 (MCL 45.551 - 45.573) by adding sec. 6b.Last Action: ASSIGNED PA 0136'11 WITH IMMEDIATE EFFECT
SB 0489 of 2011 (PA 0137 of 2011),Senate Bill,Townships; charter; minimum staffing requirements for charter township employees; prohibit. Amends 1947 PA 359 (MCL 42.1 - 42.34) by adding sec. 1b.Last Action: ASSIGNED PA 0137'11 WITH IMMEDIATE EFFECT
SB 0490 of 2011 (PA 0138 of 2011),Senate Bill,Townships; general law; minimum staffing requirements for township employees; prohibit. Amends 1846 RS 16 (MCL 41.1a - 41.110c) by adding sec. 3a.Last Action: ASSIGNED PA 0138'11 WITH IMMEDIATE EFFECT
SB 0491 of 2011 (PA 0139 of 2011),Senate Bill,Villages; home rule; minimum staffing requirements for village employees; prohibit. Amends sec. 26 of 1909 PA 278 (MCL 78.26).Last Action: ASSIGNED PA 0139'11 WITH IMMEDIATE EFFECT
SB 0492 of 2011 (PA 0140 of 2011),Senate Bill,Villages; general law; minimum staffing requirements for village employees; prohibit. Amends 1895 PA 3 (MCL 61.1 - 74.25) by adding sec. 1d to ch. I.Last Action: ASSIGNED PA 0140'11 WITH IMMEDIATE EFFECT
SB 0493 of 2011 (PA 0260 of 2011),Senate Bill,Labor; collective bargaining; the decision to consolidate services with other public employers; exempt from collective bargaining requirements. Amends sec. 15 of 1947 PA 336 (MCL 423.215).Last Action: ASSIGNED PA 0260'11 WITH IMMEDIATE EFFECT
SB 0494 of 2011 (PA 0158 of 2011),Senate Bill,"State; identification cards; electronic verification and certification in lieu of applicants' signature; allow, and require applicant to document authority to be present in the United States. Amends secs. 1, 2, 3, 5 & 7 of 1972 PA 222 (MCL 28.291 et seq.).Last Action: ASSIGNED PA 0158'11 WITH IMMEDIATE EFFECT"
SB 0495 of 2011 (PA 0159 of 2011),Senate Bill,"Traffic control; driver license; commercial driver licensing and internal registration plan requirements and certain sunset provisions; modify. Amends secs. 57, 208b, 217a, 232, 301, 303, 306, 307, 307a, 312e, 312f, 312h, 314, 319b, 319d, 319f, 319g, 320a, 602b, 605, 732, 801, 801g, 802, 803b, 803r, 804, 806, 809, 811e, 811h & 907 of 1949 PA 300 (MCL 257.57 et seq.) & adds sec. 36b.Last Action: ASSIGNED PA 0159'11 WITH IMMEDIATE EFFECT"
SB 0496 of 2011 (PA 0160 of 2011),Senate Bill,"Transportation; carriers; commercial driver licensing requirements; modify to comply with federal requirements. Amends secs. 1a, 2d & 5 of 1963 PA 181 (MCL 480.11a et seq.) & repeals secs. 4 & 4a of 1963 PA 181 (MCL 480.14 & 480.14a).  TIE BAR WITH: SB 0495'11Last Action: ASSIGNED PA 0160'11 WITH IMMEDIATE EFFECT"
SB 0497 of 2011,Senate Bill,Legislature; apportionment; redistricting of congressional districts; provide for. Amends title & secs. 3 & 5 of 1964 PA 282 (MCL 3.53 & 3.55); adds secs. 1a & 4a & repeals sec. 1 of 1964 PA 282 (MCL 3.51).Last Action: REFERRED TO COMMITTEE ON REDISTRICTING
SB 0498 of 2011 (PA 0129 of 2011),Senate Bill,"Legislature; apportionment; redistricting of senate and house of representatives; provide for. Amends title & secs. 3 & 6 of 2001 PA 116 (MCL 4.2003 & 4.2006) & adds secs. 1a, 2a & 5a.Last Action: ASSIGNED PA 0129'11"
SB 0499 of 2011 (PA 0138 of 2012),Senate Bill,Recreation; trails; rail trails; authorize installation of telecommunication facilities under certain circumstances. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 72116.Last Action: ASSIGNED PA 0138'12 WITH IMMEDIATE EFFECT
SB 0500 of 2011,Senate Bill,Employment security; benefits; suitable work requirements; modify. Amends sec. 29 of 1936 (Ex Sess) PA 1 (MCL 421.29).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0501 of 2011,Senate Bill,Employment security; benefits; formula for weekly benefit amounts and seasonal employment; modify. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0502 of 2011 (PA 0249 of 2011),Senate Bill,Liquor; licenses; license to serve alcohol at certain community colleges and universities; allow. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 513a.Last Action: ASSIGNED PA 0249'11 WITH IMMEDIATE EFFECT
SB 0503 of 2011,Senate Bill,"Education; teachers; teacher tenure hearing and appeal processes; modify. Amends secs. 3, 4, 4a & 5, art. IV, sec. 1, art. VI & sec. 7, art. VII of 1937 (Ex Sess) PA 4 (MCL 38.103 et seq.) & repeals secs. 1, 2, 3, 4, 5, 6, 8, 9 & 10, art. VII of 1937 (Ex Sess) PA 4 (MCL 38.131 et seq.).Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0504 of 2011,Senate Bill,"Health; medical marihuana; dispensing medical marihuana within 1,000 feet of a church or school; prohibit. Amends sec. 4 of 2008 IL 1 (MCL 333.26424).Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 0505 of 2011,Senate Bill,Health; medical marihuana; qualification for designation as primary caregiver; establish. Amends sec. 6 of 2008 IL 1 (MCL 333.26426).Last Action: PASSED BY 3/4 VOTE ROLL CALL # 313 YEAS 35 NAYS 2 EXCUSED 1 NOT VOTING 0
SB 0506 of 2011,Senate Bill,"Health; medical marihuana; ""bona fide physician-patient relationship"" for purposes of medical marihuana law; clarify. Amends 2008 IL 1 (MCL 333.26421 - 333.26430) by adding sec. 3a.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 0507 of 2011 (PA 0167 of 2011),Senate Bill,"Natural resources; other; Michigan geological survey; transfer to western Michigan university. Amends secs. 60101, 60102, 60104, 60105, 60106, 60107 & 60108 of 1994 PA 451 (MCL 324.60101 et seq.) & repeals sec. 50 of 1846 RS 60 (MCL 322.350) & sec. 60103 of 1994 PA 451 (MCL 324.60103).Last Action: ASSIGNED PA 0167'11 WITH IMMEDIATE EFFECT"
SB 0508 of 2011 (PA 0284 of 2011),Senate Bill,"Natural resources; nonnative species; federal ballast water standard; require advisory council to recommend. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding secs. 41401 & 41411.  TIE BAR WITH: SB 0509'11, SB 0510'11Last Action: ASSIGNED PA 0284'11 WITH IMMEDIATE EFFECT"
SB 0509 of 2011 (PA 0285 of 2011),Senate Bill,"Natural resources; nonnative species; aquatic invasive species advisory council; create, and require recommendations on DEQ AIS management plan. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 414.  TIE BAR WITH: SB 0508'11, SB 0510'11Last Action: ASSIGNED PA 0285'11 WITH IMMEDIATE EFFECT"
SB 0510 of 2011 (PA 0286 of 2011),Senate Bill,"Natural resources; nonnative species; aquatic invasive species introduction through trade pathways; require advisory council to recommend laws to prevent. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding secs. 41409, 41413 & 41415 & repeals (See bill).  TIE BAR WITH: SB 0508'11, SB 0509'11Last Action: ASSIGNED PA 0286'11 WITH IMMEDIATE EFFECT"
SB 0511 of 2011,Senate Bill,Insurance; producers; insurance on portable electronic devices; regulate. Creates new act.  TIE BAR WITH: SB 0512'11Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0512 of 2011,Senate Bill,Insurance; producers; sale of portable electronics insurance; regulate as limited lines insurance. Amends sec. 1201 of 1956 of 218 (MCL 500.1201).  TIE BAR WITH: SB 0511'11Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0513 of 2011,Senate Bill,Civil procedure; foreclosure; judicial foreclosure; require for certain residential mortgages. Amends secs. 3201 & 3240 of 1961 PA 236 (MCL 600.3201 & 600.3240) & adds sec. 3117.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
SB 0514 of 2011,Senate Bill,"Insurance; no-fault; low-cost automobile insurance pilot program; provide for. Amends secs. 3104, 3107, 3114 & 3115 of 1956 PA 218 (MCL 500.3104 et seq.) & adds ch. 32A.Last Action: REFERRED TO COMMITTEE ON INSURANCE"
SB 0515 of 2011 (PA 0074 of 2012),Senate Bill,Property; conveyances; transfer of certain state fair property to Michigan fast track land bank authority; provide for. Creates land transfer act.  TIE BAR WITH: HB 4803'11Last Action: ASSIGNED PA 0074'12 WITH IMMEDIATE EFFECT
SB 0516 of 2011,Senate Bill,"Vehicles; agricultural equipment; definition of modified agriculture vehicle; create, and provide an exception from certain weight requirements. Amends secs. 627, 688, 722 & 801 of 1949 PA 300 (MCL 257.627 et seq.) & adds sec. 30c.Last Action: notice given to discharge committee"
SB 0517 of 2011,Senate Bill,Taxation; tobacco; cigarette tax; modify. Amends secs. 7 & 12 of 1993 PA 327 (MCL 205.427 & 205.432).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0518 of 2011,Senate Bill,"Higher education; education programs; education programs for counselors, social workers, and psychologists; prohibit discrimination against students for sincerely held religious beliefs. Creates new act.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0519 of 2011,Senate Bill,"Income tax; deductions; pension tax; eliminate limitations and restrictions. Amends sec. 10 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 0520 of 2011,Senate Bill,"Income tax; deductions; limitation and restrictions on pension income and social security benefits; modify. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 0521 of 2011,Senate Bill,Legislature; apportionment; redistricting of senate and house of representatives; provide for. Amends secs. 5 & 6 of 2001 PA 116 (MCL 4.2005 & 4.2006); adds secs. 1a & 2a & repeals secs. 1 & 2 of 2001 PA 116 (MCL 4.2001 & 4.2002).Last Action: REFERRED TO COMMITTEE ON REDISTRICTING
SB 0522 of 2011 (PA 0199 of 2011),Senate Bill,Law enforcement; law enforcement information network (LEIN); access to law enforcement information network (LEIN) by department of human services; allow under certain circumstances. Amends sec. 4 of 1974 PA 163 (MCL 28.214).  TIE BAR WITH: HB 4721'11Last Action: ASSIGNED PA 0199'11 WITH IMMEDIATE EFFECT
SB 0523 of 2011,Senate Bill,Health; abortion; performance of an abortion after fetus has completed 19 weeks of gestation; require only in a hospital that has neonatal unit. Amends sec. 17515 of 1978 PA 368 (MCL 333.17515) & adds sec. 17015a.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0524 of 2011,Senate Bill,"Torts; other; ""Good Samaritan"" law; expand to include certified lifeguards. Amends 1963 PA 17 (MCL 691.1501 - 691.1507) by adding sec. 6.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0525 of 2011 (PA 0032 of 2012),Senate Bill,Weapons; licensing; renewal of concealed pistol license before expiration date of existing license; allow under certain circumstances and specify expiration date for renewed license. Amends sec. 5l of 1927 PA 372 (MCL 28.425l).Last Action: ASSIGNED PA 0032'12 WITH IMMEDIATE EFFECT
SB 0526 of 2011,Senate Bill,Employment security; benefits; computation and charging of unemployment benefits; modify for continuing employer. Amends 1936 (Ex Sess) PA 1 (MCL 421.1 - 421.75) by adding sec. 27c.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0527 of 2011,Senate Bill,Employment security; employers; definition of seasonal employment; revise. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0528 of 2011 (PA 0108 of 2012),Senate Bill,"Environmental protection; underground storage tanks; liability and cleanup procedures; modify. Amends secs. 21301a, 21304a, 21304b, 21307, 21307a, 21309a, 21310a, 21314a, 21315, 21316, 21316a & 21320 of 1994 PA 451 (MCL 324.21301a et seq.) & adds secs. 21304c, 21304d, 21323a, 21323b, 21323c, 21323d, 21323e, 21323f, 21323g, 21323h, 21323i, 21323j, 21323k, 21323l, 21323m, 21325 & 21334.  TIE BAR WITH: SB 0529'11, SB 0530'11, SB 0531'11, SB 0532'11, SB 0533'11Last Action: ASSIGNED PA 0108'12 WITH IMMEDIATE EFFECT"
SB 0529 of 2011 (PA 0109 of 2012),Senate Bill,"Environmental protection; underground storage tanks; liability and cleanup procedures; modify. Amends sec. 20114e of 1994 PA 451 (MCL 324.20114e) & adds secs. 21332 & 21333.  TIE BAR WITH: SB 0528'11, SB 0530'11, SB 0531'11, SB 0532'11, SB 0533'11Last Action: ASSIGNED PA 0109'12 WITH IMMEDIATE EFFECT"
SB 0530 of 2011 (PA 0110 of 2012),Senate Bill,"Environmental protection; underground storage tanks; liability and cleanup procedures; modify. Amends secs. 21308a, 21311a & 21312a of 1994 PA 451 (MCL 324.21308a et seq.).  TIE BAR WITH: SB 0528'11, SB 0529'11, SB 0531'11, SB 0532'11, SB 0533'11Last Action: ASSIGNED PA 0110'12 WITH IMMEDIATE EFFECT"
SB 0531 of 2011 (PA 0111 of 2012),Senate Bill,"Environmental protection; underground storage tanks; liability and cleanup procedures; modify. Amends secs. 21302 & 21303 of 1994 PA 451 (MCL 324.21302 & 324.21303).  TIE BAR WITH: SB 0528'11, SB 0529'11, SB 0530'11, SB 0532'11, SB 0533'11Last Action: ASSIGNED PA 0111'12 WITH IMMEDIATE EFFECT"
SB 0532 of 2011 (PA 0112 of 2012),Senate Bill,"Environmental protection; underground storage tanks; liability and cleanup procedures; modify. Amends secs. 21313a, 21319a & 21323 of 1994 PA 451 (MCL 324.21313a et seq.).  TIE BAR WITH: SB 0528'11, SB 0529'11, SB 0530'11, SB 0531'11, SB 0533'11Last Action: ASSIGNED PA 0112'12 WITH IMMEDIATE EFFECT"
SB 0533 of 2011 (PA 0113 of 2012),Senate Bill,"Environmental protection; underground storage tanks; liability and cleanup procedures; modify. Amends secs. 21326, 21327, 21502, 21503, 21506a, 21510, 21515, 21517, 21520, 21550, 21558 & 21559 of 1994 PA 451 (MCL 324.21326 et seq.) & repeals secs. 21541, 21542, 21543 & 21562 of 1994 PA 451 (MCL 324.21541 et seq.).  TIE BAR WITH: SB 0528'11, SB 0529'11, SB 0530'11, SB 0531'11, SB 0532'11Last Action: ASSIGNED PA 0113'12 WITH IMMEDIATE EFFECT"
SB 0534 of 2011 (PA 0054 of 2012),Senate Bill,Vehicles; fund-raising registration plates; anatomical gift donation fund-raising registration plate; create. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811t.  TIE BAR WITH: HB 4978'11Last Action: ASSIGNED PA 0054'12 WITH IMMEDIATE EFFECT
SB 0535 of 2011 (PA 0293 of 2011),Senate Bill,"Crime victims; rights; removal of certain definitions from crime victims services statute in the code of criminal procedure; amend code of criminal procedure to reflect and require payment of not less than $50.00 for conviction of a misdemeanor or a local ordinance violation. Amends sec. 1j, ch. IX of 1927 PA 175 (MCL 769.1j).  TIE BAR WITH: SB 0536'11Last Action: ASSIGNED PA 0293'11 WITH IMMEDIATE EFFECT"
SB 0536 of 2011 (PA 0294 of 2011),Senate Bill,"Crime victims; rights; victim assessments; extend to all misdemeanors. Amends secs. 1 & 5 of 1989 PA 196 (MCL 780.901 & 780.905).  TIE BAR WITH: SB 0535'11, SB 0537'11, SB 0538'11Last Action: ASSIGNED PA 0294'11 WITH IMMEDIATE EFFECT"
SB 0537 of 2011 (PA 0295 of 2011),Senate Bill,"Crime victims; rights; juvenile offender assessments; extend to all misdemeanors and certain local ordinance violations and require payment of $50.00 in costs for juveniles found within the court's jurisdiction for a misdemeanor or certain local ordinance violations. Amends secs. 18 & 18m, ch. XIIA of 1939 PA 288 (MCL 712A.18 & 712A.18m).  TIE BAR WITH: SB 0536'11Last Action: ASSIGNED PA 0295'11 WITH IMMEDIATE EFFECT"
SB 0538 of 2011 (PA 0296 of 2011),Senate Bill,Crime victims; rights; removal of certain definitions from crime victims services statute in the revised judicature act of 1961; amend to reflect and require payment of a minimum of $50.00 in costs for all misdemeanor convictions and certain local ordinance violations. Amends sec. 8381 of 1961 PA 236 (MCL 600.8381).  TIE BAR WITH: SB 0536'11Last Action: ASSIGNED PA 0296'11 WITH IMMEDIATE EFFECT
SB 0539 of 2011 (PA 0545 of 2012),Senate Bill,Probate; guardians and conservators; appointment in this state of guardians and conservators appointed in other jurisdictions; allow. Amends secs. 5313 & 5433 of 1998 PA 386 (MCL 700.5313 & 700.5433) & adds secs. 5202a & 5301a.Last Action: ASSIGNED PA 0545'12 WITH IMMEDIATE EFFECT   2012 ADDENDA
